KB,Words,Pages,Year,Name,Words/Kb,Pages/Kb
132,12536,34,1994,usc01,94.97,0.2576
3648,389288,1040,1994,usc02,106.71,0.2851
422,53648,126,1994,usc03,127.13,0.2986
87,7726,24,1994,usc04,88.80,0.2759
7751,878611,2312,1994,usc05,113.35,0.2983
1851,244929,579,1994,usc05a,132.32,0.3128
7,590,2,1994,usc06,84.29,0.2857
7607,881197,2254,1994,usc07,115.84,0.2963
2570,312751,782,1994,usc08,121.69,0.3043
74,5953,19,1994,usc09,80.45,0.2568
15523,1631974,4371,1994,usc10,105.13,0.2816
211,19128,59,1994,usc10a,90.65,0.2796
2104,260165,631,1994,usc11,123.65,0.2999
924,106786,288,1994,usc11a,115.57,0.3117
12686,1458708,3860,1994,usc12,114.99,0.3043
322,34091,90,1994,usc13,105.87,0.2795
1068,105808,285,1994,usc14,99.07,0.2669
12222,1368774,3594,1994,usc15,111.99,0.2941
17088,1799377,4672,1994,usc16,105.30,0.2734
1337,167890,381,1994,usc17,125.57,0.2850
6260,668219,1820,1994,usc18,106.74,0.2907
1306,174365,391,1994,usc18a,133.51,0.2994
6101,671324,1852,1994,usc19,110.04,0.3036
12468,1285094,3856,1994,usc20,103.07,0.3093
3332,385660,971,1994,usc21,115.74,0.2914
11481,1205529,3281,1994,usc22,105.00,0.2858
1586,202985,455,1994,usc23,127.99,0.2869
411,37593,110,1994,usc24,91.47,0.2676
6546,650620,1851,1994,usc25,99.39,0.2828
24348,2851048,7964,1994,usc26,117.10,0.3271
479,56081,128,1994,usc26a,117.08,0.2672
168,18481,45,1994,usc27,110.01,0.2679
5118,578999,1500,1994,usc28,113.13,0.2931
4167,524636,1218,1994,usc28a,125.90,0.2923
6513,720340,1980,1994,usc29,110.60,0.3040
3059,332050,832,1994,usc30,108.55,0.2720
